month,region,units_sold,unit_price,revenue
2025-01,North,562,42,23604
2025-01,South,468,38,17784
2025-01,East,610,45,27450
2025-01,West,710,50,35500
2025-02,North,508,42,21336
2025-02,South,488,38,18544
2025-02,East,617,45,27765
2025-02,West,621,50,31050
2025-03,North,561,42,23562
2025-03,South,511,38,19418
2025-03,East,610,45,27450
2025-03,West,625,50,31250
2025-04,North,556,42,23352
2025-04,South,497,38,18886
2025-04,East,627,45,28215
2025-04,West,558,50,27900
2025-05,North,565,42,23730
2025-05,South,515,38,19570
2025-05,East,648,45,29160
2025-05,West,521,50,26050
2025-06,North,601,42,25242
2025-06,South,523,38,19874
2025-06,East,640,45,28800
2025-06,West,575,50,28750
2025-07,North,566,42,23772
2025-07,South,491,38,18658
2025-07,East,647,45,29115
2025-07,West,432,50,21600
2025-08,North,602,42,25284
2025-08,South,525,38,19950
2025-08,East,647,45,29115
2025-08,West,481,50,24050
2025-09,North,542,42,22764
2025-09,South,557,38,21166
2025-09,East,622,45,27990
2025-09,West,403,50,20150
2025-10,North,561,42,23562
2025-10,South,588,38,22344
2025-10,East,726,45,32670
2025-10,West,376,50,18800
2025-11,North,621,42,26082
2025-11,South,555,38,21090
2025-11,East,704,45,31680
2025-11,West,331,50,16550
2025-12,North,565,42,23730
2025-12,South,522,38,19836
2025-12,East,707,45,31815
2025-12,West,371,50,18550
